STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons
KERALA,TOTAL,2007,512,177,27,2624,262,3999,0,7601,16329000,17206000,33535000
MADHYA PRADESH,TOTAL,2007,3010,701,742,6772,780,3294,0,15299,35237000,32332000,67569000
MAHARASHTRA,TOTAL,2007,1451,967,436,3306,1039,7356,0,14555,55470000,50916000,106386000
MANIPUR,TOTAL,2007,20,83,0,70,0,15,0,188,1179000,1157000,2336000
MEGHALAYA,TOTAL,2007,82,22,2,45,1,19,0,171,1266000,1234000,2500000
MIZORAM,TOTAL,2007,83,0,0,66,0,2,0,151,494000,464000,958000
NAGALAND,TOTAL,2007,13,6,0,8,1,0,0,28,1127000,1019000,2146000
ODISHA,TOTAL,2007,939,660,461,2775,241,728,0,5804,19883000,19393000,39276000
PUNJAB,TOTAL,2007,519,545,133,427,48,971,0,2643,14146000,12245000,26391000
RAJASTHAN,TOTAL,2007,1238,1694,439,2477,28,8170,0,14046,33062000,30345000,63407000
SIKKIM,TOTAL,2007,24,9,0,13,0,7,0,53,310000,273000,583000
TAMIL NADU,TOTAL,2007,523,1097,208,1540,875,1976,0,6219,32971000,32658000,65629000
TRIPURA,TOTAL,2007,157,81,36,244,4,545,0,1067,1767000,1682000,3449000
UTTAR PRADESH,TOTAL,2007,1648,3363,2076,2522,2882,7650,0,20141,98421000,88335000,186756000
UTTARAKHAND,TOTAL,2007,117,227,70,146,63,463,0,1086,4774000,4591000,9365000
WEST BENGAL,TOTAL,2007,2106,1590,451,2281,99,9900,5,16432,44394000,41731000,86125000
A & N ISLANDS,TOTAL,2007,3,9,1,21,2,18,0,54,238000,196000,434000
CHANDIGARH,TOTAL,2007,22,46,1,32,11,112,0,224,667000,495000,1162000
D & N HAVELI,TOTAL,2007,7,6,0,0,0,3,0,16,164000,117000,281000
DAMAN & DIU,TOTAL,2007,1,1,1,0,0,3,0,6,139000,88000,227000
LAKSHADWEEP,TOTAL,2007,1,0,0,2,0,2,0,5,37000,37000,74000
PUDUCHERRY,TOTAL,2007,9,14,2,89,32,17,0,163,579000,567000,1146000
ANDHRA PRADESH,TOTAL,2008,1257,1396,556,4730,3551,10306,0,21796,41475000,40900000,82375000
ARUNACHAL PRADESH,TOTAL,2008,42,47,0,72,1,13,0,175,631000,567000,1198000
ASSAM,TOTAL,2008,1438,1789,103,1272,2,3478,0,8082,15141000,14204000,29345000
BIHAR,TOTAL,2008,1302,1789,1210,999,21,1992,22,7335,48608000,45025000,93633000
CHHATTISGARH,TOTAL,2008,978,216,106,1621,125,897,0,3943,11682000,11587000,23269000
GOA,TOTAL,2008,30,28,2,32,12,12,0,116,832000,763000,1595000
GUJARAT,TOTAL,2008,374,1119,27,828,122,6094,0,8564,29672000,26954000,56626000
HARYANA,TOTAL,2008,631,644,302,435,605,2435,0,5052,13046000,11125000,24171000
HIMACHAL PRADESH,TOTAL,2008,157,137,3,295,41,343,0,976,3364000,3231000,6595000
JAMMU & KASHMIR,TOTAL,2008,219,656,21,935,296,162,0,2289,5912000,5345000,11257000
JHARKHAND,TOTAL,2008,791,499,266,271,23,851,39,2740,15539000,14642000,30181000
KARNATAKA,TOTAL,2008,446,405,259,1954,44,2638,1,5747,29212000,28338000,57550000
KERALA,TOTAL,2008,568,166,31,2745,258,4138,0,7906,16466000,17336000,33802000
MADHYA PRADESH,TOTAL,2008,2937,736,805,6445,758,3185,0,14866,35851000,32886000,68737000
MAHARASHTRA,TOTAL,2008,1558,998,390,3619,1091,7829,0,15485,56321000,51651000,107972000
MANIPUR,TOTAL,2008,38,87,1,57,0,28,0,211,1193000,1171000,2364000
MEGHALAYA,TOTAL,2008,88,25,2,54,4,32,0,205,1280000,1250000,2530000
MIZORAM,TOTAL,2008,77,1,0,78,0,5,0,161,500000,470000,970000
NAGALAND,TOTAL,2008,19,7,0,15,1,4,0,46,1140000,1031000,2171000
ODISHA,TOTAL,2008,1113,762,401,2782,282,1618,0,6958,20068000,19586000,39654000
PUNJAB,TOTAL,2008,517,514,128,388,49,984,0,2580,14335000,12386000,26721000
RAJASTHAN,TOTAL,2008,1355,1863,439,2520,19,8113,0,14309,33656000,30877000,64533000
SIKKIM,TOTAL,2008,20,4,0,19,0,5,0,48,314000,276000,590000
TAMIL NADU,TOTAL,2008,573,1160,207,1705,974,1648,0,6267,33203000,32903000,66106000
TRIPURA,TOTAL,2008,204,110,16,346,4,735,0,1415,1788000,1703000,3491000
UTTAR PRADESH,TOTAL,2008,1871,4439,2237,2955,3374,8312,0,23188,100264000,89989000,190253000
UTTARAKHAND,TOTAL,2008,87,222,73,120,306,340,0,1148,4849000,4662000,9511000
WEST BENGAL,TOTAL,2008,2263,1907,451,2396,94,13663,5,20779,44820000,42174000,86994000
A & N ISLANDS,TOTAL,2008,12,13,2,24,3,26,0,80,244000,205000,449000
CHANDIGARH,TOTAL,2008,20,42,3,19,2,49,0,135,705000,522000,1227000
D & N HAVELI,TOTAL,2008,6,11,0,4,0,4,0,25,172000,127000,299000
DAMAN & DIU,TOTAL,2008,0,1,0,2,1,5,0,9,148000,89000,237000
LAKSHADWEEP,TOTAL,2008,2,1,0,0,0,1,0,4,37000,37000,74000
PUDUCHERRY,TOTAL,2008,8,9,2,65,21,12,0,117,613000,590000,1203000
ANDHRA PRADESH,TOTAL,2009,1188,1526,546,5147,3520,11297,0,23224,41862000,41316000,83178000
ARUNACHAL PRADESH,TOTAL,2009,59,28,0,58,6,13,0,164,639000,573000,1212000
ASSAM,TOTAL,2009,1631,2092,170,1342,10,4398,1,9644,15327000,14486000,29813000
BIHAR,TOTAL,2009,929,1986,1295,726,12,2532,31,7511,49303000,45724000,95027000
CHHATTISGARH,TOTAL,2009,976,229,128,1598,152,893,0,3976,11848000,11753000,23601000
GOA,TOTAL,2009,47,22,3,37,10,21,0,140,864000,791000,1655000
GUJARAT,TOTAL,2009,433,1162,24,727,114,5506,0,7966,30121000,27313000,57434000
HARYANA,TOTAL,2009,603,659,281,451,605,2617,0,5216,13284000,11313000,24597000
HIMACHAL PRADESH,TOTAL,2009,183,122,1,318,37,284,0,945,3400000,3262000,6662000
JAMMU & KASHMIR,TOTAL,2009,237,825,12,972,371,196,0,2613,5990000,5424000,11414000
JHARKHAND,TOTAL,2009,719,517,295,276,83,710,6,2606,15759000,14852000,30611000
KARNATAKA,TOTAL,2009,509,408,264,2186,64,3185,2,6618,29525000,28656000,58181000
KERALA,TOTAL,2009,568,173,20,2540,395,4007,0,7703,16601000,17462000,34063000
MADHYA PRADESH,TOTAL,2009,2998,841,858,6307,728,3983,1,15716,36461000,33436000,69897000
MAHARASHTRA,TOTAL,2009,1483,926,341,3196,1099,7681,0,14726,57171000,52382000,109553000
MANIPUR,TOTAL,2009,31,97,0,39,2,25,0,194,1207000,1186000,2393000
MEGHALAYA,TOTAL,2009,112,26,0,72,1,24,1,236,1295000,1265000,2560000
MIZORAM,TOTAL,2009,83,0,0,61,1,4,0,149,506000,475000,981000
